ISSN,TITULO,INSTITUCION,SOPORTE,SEMESTRE,AÑO
2737-6745,REVISTA AMIGO DEL HOGAR,EDICIONES MSC,IMPRESO,JULIO-DICIEMBRE,2020
2737-6753,1 CENSO NACIONAL PESQUERO,OFICINA NACIONAL DE ESTADISTICAS (ONE),IMPRESO,JULIO-DICIEMBRE,2020
2737-6761,MEMORIA INSTITUCIONAL,FE Y ALEGRIA DOMINICANA,IMPRESO,JULIO-DICIEMBRE,2020
2737-677X,LOS CENSOS DOMINICANOS: 100 AÑOS CONTANDO NUESTRA GENTE,OFICINA NACIONAL DE ESTADISTICAS (ONE),DIGITAL,JULIO-DICIEMBRE,2020
2737-6788,ONTO,ONTO PUBLICACIONES,IMPRESO,JULIO-DICIEMBRE,2020
2737-6796,BOLETÍN DEMOGRAFICO Y SOCIAL 2020,OFICINA NACIONAL DE ESTADISTICAS (ONE),DIGITAL,JULIO-DICIEMBRE,2020
2676-0711,BOLETIN INFORMATIVO NO. 02-2019,INSTITUTO NACIONAL DE TRANSITO Y TRANSPORTE TERRESTRE (INTRAN),DIGITAL,ENERO-JUNIO,2020
2676-072X,BOLETIN ESTUDIANTIL UNISA,INIVERSIDAD ISA,DIGITAL,ENERO-JUNIO,2020
2676-0738,EL JUDICIAL,PODER JUDICIAL,DIGITAL,ENERO-JUNIO,2020
2676-0827,SABER Y JUSTICIA,ESCUELA NACIONAL DE LA JUDICATURA,DIGITAL,ENERO-JUNIO,2020
2676-0835,THEO MAGAZINE,EDITORIAL PROCLAMA (E-PRO) ,DIGITAL,ENERO-JUNIO,2020
2676-0843,REVISTA DE PSICOLOGIA,SOCIEDAD PALABRA MILTIMEDIA,IMPRESO,ENERO-JUNIO,2020
2676-0851,BOLETIN MUSEO DEL HOMBRE DOMINICANO,MUSEO DEL HOMBRE DOMINICANO,IMPRESO,ENERO-JUNIO,2020
2676-086X,INDICE DE LOS DERECHOS DE LA NIÑEZ,UNIVERSIDAD CATOLICA SANTO DOMINGO (UCSD),IMPRESO,ENERO-JUNIO,2020
2676-0878,UN NUEVO CICLO PARA EL PLAN NACIONAL DE ALFABETIZACION QUISQUEYA APRENDE CONTIGO,DIRECCION GENERAL DE PROGRAMAS ESPECIALES DE LA PRESIDENCIA DE LA REPUBLICA DOMINICANA,IMPRESO,ENERO-JUNIO,2020
2676-0924,REVISTA ALANDAR,UNIVERSIDAD CATOLICA SANTO DOMINGO (UCSD),IMPRESO,ENERO-JUNIO,2020
2676-0932,REVISTA DE ESTUDIOS GENERALES,UNIVERSIDAD APEC,DIGITAL,ENERO-JUNIO,2020
2676-0940,LA INFORMACION (PERIODICO),NUEVA EDITORA LA INFORMACION C. POR A.,IMPRESO,ENERO-JUNIO,2020
2676-0959,BOLETIN INFORMATIVO INAFOCAM,INSTITUTO NACIONAL DE FORMACION Y CAPACITACION DEL MAGISTERIO (INAFOCAM),IMPRESO,ENERO-JUNIO,2020
2676-0967,MEMORIA DE UN LIDERAZGO SOCIAL,VICEPRESIDENCIA DE LA REPUBLICA,IMPRESO,ENERO-JUNIO,2020
2676-0975,MEMORIA DE UNA GESTION,SENADO DE LA REPUBLICA DOMINICANA,IMPRESO,ENERO-JUNIO,2020
2676-0983,"INFORME DEL PROGRAMA JOVEN INVESTIGADOR, SEGUNDA VERSION 2016",INSTITUTO DOMINICANO DE EVALUACION E INVESTIGACION DE LA CALIDAD EDUCATIVA (IDEICE),DIGITAL,ENERO-JUNIO,2020
2676-0991,BOLETIN SEMANAL SEGURIDAD SOCIAL,INSTITUTO TECNOLOGICO DE SANTO DOMINGO (INTEC),DIGITAL,ENERO-JUNIO,2020
2676-0649,PERIODICO EL BOCHISTA,MOVIMIENTO REVOLUCIONARIO INDEPENDIENTE (MOVI),IMPRESA,JULIO-DICIEMBRE,2019
2676-0657,THEO MAGAZINE,SOUTHERN BAPTIST SCHOOL,IMPRESA,JULIO-DICIEMBRE,2019
2676-0673,REVISTA CIENTIFICA HOSPITAL TRAUMATOLOGICO DR. NEY ARIAS LORAHOSPITAL TRAUMATOLOGICO DR. NEY ARIAS LORA,HOSPITAL TRAUMATOLOGICO DR. NEY ARIAS LORA,IMPRESA,JULIO-DICIEMBRE,2019
2676-0681,REVISTA DOMINICANA DE CIRUGÍA,COLEGIO DOMINICANO DE CIRUJANOS,DIGITAL,JULIO-DICIEMBRE,2019
2676-069X,CAPACITACION FISCAL RD,CENTRO DE CAPACITACION POLÍTICA Y GESTION FISCAL (CAPGEFI),DIGITAL,JULIO-DICIEMBRE,2019
2676-0746,BOLETIN INSTITUCIONAL TRIMESTRAL DEL MINISTERIO DE ENERGIAS Y MINAS,MINISTERIO DE ENERGIAS Y MINAS,IMPRESA,JULIO-DICIEMBRE,2019
2676-0754,INFORME DE ESTABILIDAD FINANCIERA. OCUTBRE 2018,BANCO CENTRAL DE LA REPUBLICA DOMINICANA,DIGITAL,JULIO-DICIEMBRE,2019
2676-0762,ANUARIO DE INVESTIGACION LINGUISTICA Y LITERARIA ENFOQUES ,UNIVERSIDAD AUTONOMA DE SANTO DOMINGO (UASD),DIGITAL,JULIO-DICIEMBRE,2019
2676-0770,ISFODOSU EN CIFRAS ,INSTITUTO DE FORMACION DOCENTE SALOME UREÑA (ISFODOSU),DIGITAL,JULIO-DICIEMBRE,2019
2676-0789,ISFODOSU EN CIFRAS ,INSTITUTO DE FORMACION DOCENTE SALOME UREÑA (ISFODOSU),IMPRESA,JULIO-DICIEMBRE,2019
2676-0797,REVISTA ECO ,UNIVERSIDAD AUTONOMA DE SANTO DOMINGO (UASD),DIGITAL,JULIO-DICIEMBRE,2019
2676-0800,DESEMPEÑO DE LOS EGRESADOS DEL ISFODOSU Y SU IMPACTO EN EL APRENDIZAJE DE LOS ESTUDIANTES,INSTITUTO DE FORMACION DOCENTE SALOME UREÑA (ISFODOSU),DIGITAL,JULIO-DICIEMBRE,2019
2676-0819,INFORME DE GESTION 2019 ,OBSERVATORIO NACIONAL PARA LA PROTECCION DEL CONSUMIDOR (OPECO),IMPRESA,JULIO-DICIEMBRE,2019
2636-2384,CATEDRA DE LITERATURA CARIBEÑA RENE DEL RISCO BERMUDEZ,PONTIFICIA UNIVERSIDAD MADRE Y MAESTRA (PUCMM),IMPRESA,ENERO-JUNIO,2019
2636-2392,USBS DOMINICANA,ARQ. PHP HECTOR CASTILLO,IMPRESA,ENERO-JUNIO,2019
2636-2406,DONACION Y TRANSPLANTE,INSTITUTO NACIONAL DE COORDINACION Y TRANSPLANTE,DIGITAL,ENERO-JUNIO,2019
2636-2414,DONACION Y TRANSPLANTE,INSTITUTO NACIONAL DE COORDINACION Y TRANSPLANTE,IMPRESA,ENERO-JUNIO,2019
2636-2422,EL ALIADO ,INSTITUTO DE FORMACION TECNICO  (INFOTEP),IMPRESO,ENERO-JUNIO,2019
2636-2430,EL ALIADO ,INSTITUTO DE FORMACION TECNICO PROFESIONAL (INFOTEP),DIGITAL,ENERO-JUNIO,2019
2636-2449,BOLETIN INFORMATIVO CASA DE DIOS ADORACION ETERNA,EDITORA MM,IMPRESA,ENERO-JUNIO,2019
2676-2509,REVISTA ACADEMICA,UNIVERSIDAD CATOLICA DEL CIBAO (UCATECI),IMPRESA,ENERO-JUNIO,2019
2676-0517,INFORME ESTADISTICO SOBRE EL TRANSPORTE AEREO EN LA REPUBLICA DOMINICANA,JUNTA DE AVIACION CIVIL (JAC),IMPRESA,ENERO-JUNIO,2019
2676-0525,INFORME ESTADISTICO SOBRE EL TRANSPORTE AEREO EN LA REPUBLICA DOMINICANA,JUNTA DE AVIACION CIVIL (JAC),CD-ROM,ENERO-JUNIO,2019
2676-0533,INFORME ESTADISTICO SOBRE EL TRANSPORTE AEREO EN LA REPUBLICA DOMINICANA,JUNTA DE AVIACION CIVIL (JAC),DIGITAL,ENERO-JUNIO,2019
2676-0541,ARTELIA,"SVETHA DESIGNS, S.R.L.",IMPRESA,ENERO-JUNIO,2019
2676-055X,SODOFI INFORMATIVO,SOCIEDAD DOMINICANA DE FISICA (SODOFI),IMPRESA,ENERO-JUNIO,2019
2676-0568,"COMPENDIO DE MUJERES FALLECIDAS EN CONDICIONES DE VIOLENCIA, 2009-2016",OFICINA NACIONAL DE ESTADISTICAS (ONE),DIGITAL,ENERO-JUNIO,2019
2676-0576,BOLETIN BUENAS NOTICIAS,FE Y ALEGRIA DOMINICANA,DIGITAL,ENERO-JUNIO,2019
2676-0584,BOLETIN LAS TINAJAS,FUNDACION MATRIMONIO FELIZ,DIGITAL,ENERO-JUNIO,2019
2676-0592,CATEDRA DE CULTURA CARIBEÑA CARLOS DOBAL,PONTIFICIA UNIVERSIDAD CATOLICA MADRE Y MAESTRA (PUCMM), IMPRESA ,ENERO-JUNIO,2019
2676-0606,SODOFI INFORMATIVO,SOCIEDAD DOMINICANA DE FISICA (SODOFI),DIGITAL,ENERO-JUNIO,2019
2676-0614,MEMORIA DE GESTION,OFICINA NACIONAL DE ESTADISTICAS (ONE),DIGITAL,ENERO-JUNIO,2019
2676-0622,REVISTA ESPECIALIZADA TRINGLAR RD,TRINGLAR MEDIA,IMPRESA,ENERO-JUNIO,2019
2676-0630,UNAPEC VERDE,UNIVERSIDAD APEC,IMPRESA,ENERO-JUNIO,2019
2636-2023,MEMORIA I RONDA DE INVESTIGACION,UNIVERSIDAD DEL CARIBE (UNICARIBE),DIGITAL,JULIO-DICIEMBRE,2018
2636-2031,MEMORIA I RONDA DE INVESTIGACION,UNIVERSIDAD DEL CARIBE (UNICARIBE),IMPRESA,JULIO-DICIEMBRE,2018
2636-204X,MEMORIA DE GESTION 2016-2016,FUERZA AEREA DE LA REPUBLICA DOMINICANA (FARD),IMPRESA,JULIO-DICIEMBRE,2018
2636-2058,REVISTA ALAS ,FUERZA AEREA DE LA REPUBLICA DOMINICANA (FARD),DIGITAL,JULIO-DICIEMBRE,2018
2636-2066,REVISTA ALAS ,FUERZA AEREA DE LA REPUBLICA DOMINICANA (FARD),IMPRESA,JULIO-DICIEMBRE,2018
2636-2074,DEFENSA Y SEGURIDAD,ESCUELA DE GRADUADOS DE ALTOS ESTUDIOS ESTRATEGICOS (EGAEE),IMPRESA,JULIO-DICIEMBRE,2018
2636-2082,BIOENERGIA DOMINICANA,ORGANIZACION DE LAS NACIONES UNIDAS PARA EL DESARROLLO INDUSTRIAL (ONUDI),DIGITAL,JULIO-DICIEMBRE,2018
2636-2090,BIOENERGIA DOMINICANA,ORGANIZACION DE LAS NACIONES UNIDAS PARA EL DESARROLLO INDUSTRIAL (ONUDI),IMPRESA,JULIO-DICIEMBRE,2018
2636-2104,GUARNICION,EJERCITO DE LA REPUBLICA DOMINICANA,IMPRESA,JULIO-DICIEMBRE,2018
2636-2112,REVISTA SOCIEDAD LA PROGRESISTA,SOCIEDAD LA PROGRESISTA,IMPRESA,JULIO-DICIEMBRE,2018
2636-2120,REVISTA ESTUDIOS SOCIALES,INSTITUTO BONO,DIGITAL,JULIO-DICIEMBRE,2018
2636-2139,REVISTA CARIBEÑA DE INVESTIGACION EDUCATIVA (RECIE),INSTITUTO SUPERIOR DE FORMACION DOCENTE SALOME UREÑA (INFODOSU),IMPRESA,JULIO-DICIEMBRE,2018
2636-2147,REVISTA CARIBEÑA DE INVESTIGACION EDUCATIVA (RECIE),INSTITUTO SUPERIOR DE FORMACION DOCENTE SALOME UREÑA (INFODOSU),DIGITAL,JULIO-DICIEMBRE,2018
2636-2155,RAYO DE LUZ,LA BUENA NOTICIA,IMPRESA,JULIO-DICIEMBRE,2018
2636-2163,EDUCACION SUPERIOR,UNIVERSIDAD ABIERTA PARA ADULTOS (UAPA),DIGITAL,JULIO-DICIEMBRE,2018
2636-2171,"CIENCIA, INGENIERIA Y APLICACIONES",INSTITUTO TECNOLOGICO DE SANTO DOMINGO (INTEC),DIGITAL,JULIO-DICIEMBRE,2018
2636-218X,"CIENCIA, INGENIERIA Y APLICACIONES",INSTITUTO TECNOLOGICO DE SANTO DOMINGO (INTEC),IMPRESA,JULIO-DICIEMBRE,2018
2636-2198,CARTA COMPROMISO AL CIUDADANO,BIBLIOTECA NACIONAL PEDRO HENRIQUEZ UREÑA (BNPHU),IMPRESA,JULIO-DICIEMBRE,2018
2636-2201,PANORAMA ECONOMICO DE LA REGION NORTE,BANCO CENTERAL DE LA REPUBLICA DOMINICANA,IMPRESA,JULIO-DICIEMBRE,2018
2636-221X,ANALISIS DE LA EVALUACION DEL PLAN NACIONAL DE ALFABETIZACION QUISQUEYA APRENDE CONTIGO,DIRECCION GENERAL DE PROGRAMS ESPECIALES DE LA PRESIDENCIA (DIGEPE),DIGITAL,JULIO-DICIEMBRE,2018
2636-2228,CATEDRA INAUGURAL AÑO ACADEMICO,POTIFICIA UNIVERSIDAD CATOLICA MADRE Y MAESTRA (PUCMM),IMPRESA,JULIO-DICIEMBRE,2018
2636-2236,AULA REVISTA DE HUMANIDADES Y CIENCIAS SOCIALES,UNIVERSIDAD NACIONAL PEDRO HENRIQUEZ UREÑA (UNPHU),DIGITAL,JULIO-DICIEMBRE,2018
2636-2244,CARTA COMPROMISO AL CIUDADANO,BIBLIOTECA NACIONAL PEDRO HENRIQUEZ UREÑA (BNPHU),DIGITAL,JULIO-DICIEMBRE,2018
2636-2252,INFORME ESTADO DE SITUACION DE LAS MIPYME EN REPUBLICA DOMINICANA,OFICINA NACIONAL DE ESTADISTICAS (ONE),DIGITAL,JULIO-DICIEMBRE,2018
2636-2260,REVISTA DE INVESTIGACION Y EVALUACION (REVIE),INSTITUTO DOMINICANO DE EVALUACION E INVESTIGACION DE LA CALIDAD EDUCATIVA (IDEICE),IMPRESA,JULIO-DICIEMBRE,2018
2636-2279,INFORME DE LA ESTABILIDAD FINANCIERA,BANCO CENTRAL DE LA REPUBLICA DOMINICANA,IMPRESA,JULIO-DICIEMBRE,2018
2636-2287,INFORME GENERAL DE RESULTADOS DE ESTUDIO DE OFERTA DE EDIFICACIONES,OFICINA NACIONAL DE ESTADISTICAS (ONE),DIGITAL,JULIO-DICIEMBRE,2018
2636-2295,ANUARIO DE INVESTIGACION LINGUISTICA Y LITERARIA. ENFOQUES,UNIVERSIDAD AUTONOMA DE SANTO DOMINGO (UASD),IMPRESA,JULIO-DICIEMBRE,2018
2636-2309,"REVISTA SEGURIDAD, CIENCIA & DEFENSA",INSTITUTO SUPERIOR PARA LA DEFENSA (INSUDE),DIGITAL,JULIO-DICIEMBRE,2018
2636-2317,"CIENCIA, AMBIENTE Y CLIMA",INSTITUTO TECNOLOGICO DE SANTO DOMINGO (INTEC),IMPRESA,JULIO-DICIEMBRE,2018
2636-2325,REVISTA DOMINICANA DE DERECHO CONSTITUCIONAL,TRIBUNAL CONSTITUCIONAL,IMPRESA,JULIO-DICIEMBRE,2018
2636-2333,"CIENCIA, AMBIENTE Y CLIMA",INSTITUTO TECNOLOGICO DE SANTO DOMINGO (INTEC),DIGITAL,JULIO-DICIEMBRE,2018
2636-2341,REVISTA JUVENTUDE,JOVENES IBEROAMERICANOS,DIGITAL,JULIO-DICIEMBRE,2018
2636-235X,INFORME DE GESTION 2018. ANALISIS DE SITUACION Y PERSPECTIVA 2019,OBSERVATORIO NACIONAL PARA LA PROTECCION DEL CONSUMIDOR,IMPRESA,JULIO-DICIEMBRE,2018
2636-2368,REVISTA DE EDUCACION,ACADEMIA DE CIENCIA DE LA REPUBLICA DOMINICANA,IMPRESA,JULIO-DICIEMBRE,2018
2613-8867,PERFIL DE LAS EMPRESAS EXPORTADORAS E IMPORTADORAS DE LA REPUBLICA DOMINICANA 2008-2014,OFICINA NACIONAL DE ESTADISTICAS (ONE),DIGITAL,ENERO-JUNIO,2018
2613-8875,ARCHIVOS MEDICOS DOMINICANOS DE LA ACADEMIA DOMINICANA DE MEDICINA,ACADEMIA DOMINICANA DE MEDICINA,IMPRESA,ENERO-JUNIO,2018
2613-8883,BOLETIN DEL OBSERVATORIO DE POLITICAS SOCIALES Y DESARROLLO,OBSERVATORIO DE POLITICAS SOCIALES DE LA VICEPRESIDENCIA,IMPRESA,ENERO-JUNIO,2018
2613-8891,BOLETIN DEL OBSERVATORIO DE POLITICAS SOCIALES Y DESARROLLO,OBSERVATORIO DE POLITICAS SOCIALES DE LA VICEPRESIDENCIA,DIGITAL,ENERO-JUNIO,2018
2613-8905,CONTRIBUYE,DIRECCION GENERAL DE IMPUESTOS INTERNOS,IMPRESA,ENERO-JUNIO,2018
2613-8913,PAIS DOMINICANO TEMATICO,PERIODICO EL PAIS COMINICANO.COM,IMPRESA,ENERO-JUNIO,2018
2613-8921,PERSPECTIVA,FUNDACION FRIEDRICH EBERT ,IMPRESA,ENERO-JUNIO,2018
2613-893X,BLITZ MAGAZINE,JOB MAR ACQUISITIONS S. DE R.L.,IMPRESA,ENERO-JUNIO,2018
2613-8948,REVISTA DE ADMINISTRACION PUBLICA: REFORMA MUNICIPAL EN LA REPUBLICA DOMINICANA,MINISTERIO DE ADMINISTRACION PUBLICA (MAP),IMPRESA,ENERO-JUNIO,2018
2636-1957,REVISTA ESTUDIOS GENERALES,UNIVERSIDAD APEC,IMPRESA,ENERO-JUNIO,2018
2636-1965,EL MONITOR DE INDUSTRIA Y COMERCIO, MINISTERIO DE INDUSTRIA Y COMERCIO Y MIPYMES,IMPRESA,ENERO-JUNIO,2018
2636-1973,EL MONITOR DE INDUSTRIA Y COMERCIO, MINISTERIO DE INDUSTRIA Y COMERCIO Y MIPYMES,DIGITAL,ENERO-JUNIO,2018
2636-1981,GEONOTICIAS,SODOGEO,IMPRESA,ENERO-JUNIO,2018
2636-199X,REPORTE DE SOSTENIBILIDAD EXTERNA,BANCO CENTRAL DE LA REPUBLICA DOMINICANA,IMPRESA,ENERO-JUNIO,2018
2636-2007,MEMORIA X ANIVERSARIO ,JUNTA CENTRAL ELECTORAL (JCE),IMPRESA,ENERO-JUNIO,2018
2636-2015,"REVISTA EDUCACION SUPERIOR, CIENCIA Y TECNOLOGIA","MINISTERIO DE ECUCACION SUPERIOR, CIENCIA Y TECNOLOGIA (MESCYT)",IMPRESA,ENERO-JUNIO,2018
